id,center,availability,coefficient,total_dots,dot_ids,dot_coordinates,grids_ind_to_ind_distances,distance_avg,space_mean_speed,grid_density
161,"[102.0, 58.88972745734183]",f,Infinity,0,[],[],[],0,,0
162,"[0.0, 62.35382907247958]",t,1,0,[],[],[],0,,0
163,"[12.0, 62.35382907247958]",t,1,0,[],[],[],0,,0
164,"[24.0, 62.35382907247958]",t,1,0,[],[],[],0,,0
165,"[36.0, 62.35382907247958]",t,1,0,[],[],[],0,,0
166,"[48.0, 62.35382907247958]",t,1,0,[],[],[],0,,0
167,"[60.0, 62.35382907247958]",t,1,0,[],[],[],0,,0
168,"[72.0, 62.35382907247958]",t,1,0,[],[],[],0,,0
169,"[84.0, 62.35382907247958]",f,Infinity,0,[],[],[],0,,0
170,"[96.0, 62.35382907247958]",t,1,0,[],[],[],0,,0
171,"[6.0, 65.81793068761733]",t,1,0,[],[],[],0,,0
172,"[18.0, 65.81793068761733]",t,1,0,[],[],[],0,,0
173,"[30.0, 65.81793068761733]",t,1,0,[],[],[],0,,0
174,"[42.0, 65.81793068761733]",t,1,0,[],[],[],0,,0
175,"[54.0, 65.81793068761733]",t,1,0,[],[],[],0,,0
176,"[66.0, 65.81793068761733]",t,1,0,[],[],[],0,,0
177,"[78.0, 65.81793068761733]",f,Infinity,0,[],[],[],0,,0
178,"[90.0, 65.81793068761733]",f,Infinity,0,[],[],[],0,,0
179,"[102.0, 65.81793068761733]",f,Infinity,0,[],[],[],0,,0
180,"[0.0, 69.28203230275508]",t,1,0,[],[],[],0,,0
181,"[12.0, 69.28203230275508]",t,1,0,[],[],[],0,,0
182,"[24.0, 69.28203230275508]",t,1,0,[],[],[],0,,0
183,"[36.0, 69.28203230275508]",t,1,0,[],[],[],0,,0
184,"[48.0, 69.28203230275508]",f,Infinity,0,[],[],[],0,,0
185,"[60.0, 69.28203230275508]",t,1,0,[],[],[],0,,0
186,"[72.0, 69.28203230275508]",t,1,0,[],[],[],0,,0
187,"[84.0, 69.28203230275508]",f,Infinity,0,[],[],[],0,,0
188,"[96.0, 69.28203230275508]",t,1,0,[],[],[],0,,0
189,"[6.0, 72.74613391789283]",t,1,0,[],[],[],0,,0
190,"[18.0, 72.74613391789283]",t,1,0,[],[],[],0,,0
191,"[30.0, 72.74613391789283]",t,1,0,[],[],[],0,,0
192,"[42.0, 72.74613391789283]",f,Infinity,0,[],[],[],0,,0
193,"[54.0, 72.74613391789283]",t,1,0,[],[],[],0,,0
194,"[66.0, 72.74613391789283]",t,1,0,[],[],[],0,,0
195,"[78.0, 72.74613391789283]",t,1,0,[],[],[],0,,0
196,"[90.0, 72.74613391789283]",t,1,0,[],[],[],0,,0
197,"[102.0, 72.74613391789283]",f,Infinity,0,[],[],[],0,,0
198,"[0.0, 76.2102355330306]",f,Infinity,0,[],[],[],0,,0
