grid_id,neighbor_ids,distances
121,"[103, 112, 113, 130, 131, 139]","[6.928203230275514, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
122,"[104, 113, 114, 131, 132, 140]","[6.928203230275514, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
123,"[105, 114, 115, 132, 133, 141]","[6.928203230275514, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
124,"[106, 115, 116, 133, 134, 142]","[6.928203230275514, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
125,"[107, 116, 134, 143]","[6.928203230275514, 6.9282032302755105, 6.928203230275507, 6.928203230275507]"
126,"[108, 117, 135, 144]","[6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.928203230275507]"
127,"[109, 117, 118, 135, 136, 145]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
128,"[110, 118, 119, 136, 137, 146]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
129,"[111, 119, 120, 137, 138, 147]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
130,"[112, 120, 121, 138, 139, 148]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
131,"[113, 121, 122, 139, 140, 149]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
132,"[114, 122, 123, 140, 141, 150]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
133,"[115, 123, 124, 141, 142, 151]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
134,"[116, 124, 125, 142, 143, 152]","[6.928203230275507, 6.928203230275507, 6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507]"
135,"[117, 126, 127, 144, 145, 153]","[6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
136,"[118, 127, 128, 145, 146, 154]","[6.928203230275507, 6.9282032302755105, 6.9282032302755105, 6.928203230275507, 6.928203230275507, 6.928203230275507]"
